İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,ALAN,OKUL TÜRÜ
YENİMAHALLE (MERKEZ),Demetevler Kız Anadolu İmam Hatip Lisesi,26.32,33.95,34.99,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
KEÇİÖREN (MERKEZ),Keçiören Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,38.06,34.97,35.18,,BİLİŞİM TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı
SİNCAN (MERKEZ),Şehit Özgür Can İnce Mesleki ve Teknik Anadolu Lisesi,41.24,38.2,35.98,,MOTORLU ARAÇLAR TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
ÇUBUK,Fatih Sultan Mehmet Mesleki ve Teknik Anadolu Lisesi,48.89,47.5,37.17,,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
ALTINDAĞ (MERKEZ),Mahir İz Anadolu İmam Hatip Lisesi,43.66,41.88,37.92,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
ALTINDAĞ (MERKEZ),İskitler Mesleki ve Teknik Anadolu Lisesi,57.6,50.83,37.95,,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı
PURSAKLAR,Güzide Ülker Mesleki ve Teknik Anadolu Lisesi,40.56,39.5,39.18,,ULAŞTIRMA HİZMETLERİ ALANI,Anadolu Teknik Programı
SİNCAN (MERKEZ),Şehit Erdal Koçak Mesleki ve Teknik Anadolu Lisesi,37.32,40.23,40.41,,ADALET ALANI,Anadolu Teknik Programı
ÇANKAYA (MERKEZ),Tapu Kadastro Mesleki ve Teknik Anadolu Lisesi,37.37,39.37,40.94,,HARİTA-TAPU-KADASTRO ALANI,Anadolu Teknik Programı
MAMAK (MERKEZ),Abidinpaşa Mesleki ve Teknik Anadolu Lisesi,36.69,43.24,43.19,,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
MAMAK (MERKEZ),Abidinpaşa Mesleki ve Teknik Anadolu Lisesi,36.69,43.24,43.71,,BİYOMEDİKAL CİHAZ TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı
ALTINDAĞ (MERKEZ),Ulus Mesleki ve Teknik Anadolu Lisesi,51.73,48.64,44.54,,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
ALTINDAĞ (MERKEZ),Ankara Mesleki ve Teknik Anadolu Lisesi,41.91,43.59,44.58,,ADALET ALANI,Anadolu Teknik Programı
KIZILCAHAMAM,Şehit Zekeriya Yurdakul Anadolu İmam Hatip Lisesi,89.76,89.63,44.59,,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi
GÖLBAŞI,Şehit Sebahattin Koçak Kız Anadolu İmam Hatip Lisesi,49.14,42.97,44.66,,AİHL ÇOCUK GELİŞİMİ VE EĞİTİMİ PROGRAMI,Anadolu İmam Hatip Lisesi
